년도,분기,학년,권역,점수
2021,2,1,강남서초,81.4
2021,2,1,강동송파,84.4
2021,2,1,강서양천,84.4
2021,2,1,동작관악,79.2
2021,2,1,서울남부,80.1
2021,2,1,서울동부,85.3
2021,2,1,서울북부,85.2
2021,2,1,서울서부,84.0
2021,2,1,서울중부,82.4
2021,2,1,성동광진,80.8
2021,2,1,성북강북,78.4
2021,2,2,강남서초,78.2
2021,2,2,강동송파,79.5
2021,2,2,강서양천,78.2
2021,2,2,동작관악,76.1
2021,2,2,서울남부,79.0
2021,2,2,서울동부,79.0
2021,2,2,서울북부,76.3
2021,2,2,서울서부,76.9
2021,2,2,서울중부,74.0
2021,2,2,성동광진,77.3
2021,2,2,성북강북,70.6
2021,2,3,강남서초,78.8
2021,2,3,강동송파,78.2
2021,2,3,강서양천,77.0
2021,2,3,동작관악,76.1
2021,2,3,서울남부,76.5
2021,2,3,서울동부,78.6
2021,2,3,서울북부,79.1
2021,2,3,서울서부,77.0
2021,2,3,서울중부,75.5
2021,2,3,성동광진,73.6
2021,2,3,성북강북,73.9
2021,2,4,강남서초,75.6
2021,2,4,강동송파,76.2
2021,2,4,강서양천,74.1
2021,2,4,동작관악,74.5
2021,2,4,서울남부,76.3
2021,2,4,서울동부,74.6
2021,2,4,서울북부,74.6
2021,2,4,서울서부,75.7
2021,2,4,서울중부,76.3
2021,2,4,성동광진,75.1
2021,2,4,성북강북,71.2
2021,2,5,강남서초,76.0
2021,2,5,강동송파,78.2
2021,2,5,강서양천,75.0
2021,2,5,동작관악,77.2
2021,2,5,서울남부,77.0
2021,2,5,서울동부,76.4
2021,2,5,서울북부,70.2
2021,2,5,서울서부,72.6
2021,2,5,서울중부,76.9
2021,2,5,성동광진,75.1
2021,2,5,성북강북,71.0
2021,2,6,강남서초,69.5
2021,2,6,강동송파,68.6
2021,2,6,강서양천,63.4
2021,2,6,동작관악,66.0
2021,2,6,서울남부,65.8
2021,2,6,서울동부,68.6
2021,2,6,서울북부,64.1
2021,2,6,서울서부,66.7
2021,2,6,서울중부,70.5
2021,2,6,성동광진,63.8
2021,2,6,성북강북,61.6
2021,2,7,강남서초,56.0
2021,2,7,강동송파,65.8
2021,2,7,강서양천,59.4
2021,2,7,동작관악,64.0
2021,2,7,서울남부,65.0
2021,2,7,서울동부,63.2
2021,2,7,서울북부,62.8
2021,2,7,서울서부,62.4
2021,2,7,서울중부,61.3
2021,2,7,성동광진,66.2
2021,2,7,성북강북,62.0
2021,2,8,강남서초,73.0
2021,2,8,강동송파,73.3
2021,2,8,강서양천,77.0
2021,2,8,동작관악,40.0
2021,2,8,서울남부,68.0
2021,2,8,서울동부,58.0
2021,2,8,서울북부,50.0
2021,2,8,서울서부,53.4
2021,2,8,서울중부,70.9
2021,2,9,강남서초,60.0
2021,2,9,강서양천,68.0
2021,2,9,동작관악,60.0
2021,2,9,서울남부,86.6
2021,2,9,서울서부,80.0
2021,2,9,서울중부,56.0
2021,2,9,성동광진,80.0
